Sampler,Ratio,MCC,GPS,Hostilidad_Lancho,dwCM9_Barella
SMOTE,0.3,0.7668115805072325,0.8514814814814815,0.14829659318637275,0.2933867735470942
SMOTE,0.4,0.8225449296158247,0.8997122302158272,0.11561561561561562,0.20090090090090093
SMOTE,0.5,0.8610014688789821,0.9244406047516199,0.04927884615384615,0.14254807692307694
SMOTE,0.6,0.888794296871005,0.9466549295774648,0.043043043043043044,0.10510510510510511
SMOTE,0.7,0.8589054441260745,0.9292833383172153,0.03862660944206009,0.0801716738197425
SMOTE,0.8,0.891955013114635,0.9456780333068993,0.012762762762762763,0.06276276276276276
SMOTE,0.9,0.8964245362482264,0.9481448074339243,0.009345794392523364,0.04766355140186916
SMOTE,1.0,0.8738887510843851,0.9369238337646782,0.008408408408408409,0.03747747747747748
ADASYN,0.3,0.7677524354788375,0.8526756221096674,0.1710794297352342,0.32138492871690433
ADASYN,0.4,0.7493070610408434,0.8412146849977337,0.05891472868217054,0.20031007751937982
ADASYN,0.5,0.8246394942696895,0.9022263883571199,0.038231780167264036,0.12353643966547191
ADASYN,0.6,0.8210016617823789,0.908904360571638,0.025974025974025976,0.08291708291708291
ADASYN,0.7,0.8360540086804781,0.9157424858644976,0.019981834695731154,0.0628519527702089
ADASYN,0.8,0.8354704959980944,0.9174261077180528,0.021245421245421246,0.0315018315018315
ADASYN,0.9,0.8596946173910797,0.9299348686437068,0.012202954399486191,0.017597944765574823
ADASYN,1.0,0.8295050301810866,0.9147442326980942,0.005431502715751358,0.016294508147254076
ROS,0.3,0.7653923619900325,0.8374414976599063,0.13226452905811623,0.349498997995992
ROS,0.4,0.8726322822948961,0.9273695535233997,0.0945945945945946,0.26366366366366367
ROS,0.5,0.8976555151758763,0.9464413938753959,0.03485576923076923,0.2076923076923077
ROS,0.6,0.93675256943554,0.9713040494166094,0.02902902902902903,0.16276276276276277
ROS,0.7,0.9224540480994107,0.9623752117641103,0.012875536480686695,0.12703862660944207
ROS,0.8,0.9304868629454789,0.965983436853002,0.006006006006006006,0.09714714714714714
ROS,0.9,0.9517047992555377,0.9762094318231072,0.004005340453938585,0.07917222963951936
ROS,1.0,0.9602380123983755,0.9798452402375383,0.0,0.061621621621621624
