Ratio,Sampler,Min_N3,Maj_N3,Min_L2,Maj_L2,Min_dwCM9,Maj_dwCM9
0.05708245243128964,SMOTE,0.5370370370370371,0.01744186046511628,1.0,0.0,0.587037037037037,0.018076109936575054
0.05708245243128964,ADASYN,0.5370370370370371,0.01744186046511628,1.0,0.0,0.587037037037037,0.018076109936575054
0.05708245243128964,ROS,0.5370370370370371,0.01744186046511628,1.0,0.0,0.587037037037037,0.018076109936575054
0.05708245243128964,RUS,0.5370370370370371,0.01744186046511628,1.0,0.0,0.587037037037037,0.018076109936575054
0.5,SMOTE,0.010570824524312896,0.04439746300211417,0.5422832980972516,0.09989429175475686,0.030232558139534887,0.07452431289640592
0.5,ADASYN,0.005213764337851929,0.04704016913319239,0.6976016684045881,0.0776955602536998,0.020229405630865484,0.08731501057082454
0.5,ROS,0.0,0.01638477801268499,0.6881606765327696,0.08985200845665962,0.012684989429175475,0.0485200845665962
0.5,RUS,0.3888888888888889,0.14814814814814814,0.6111111111111112,0.06944444444444445,0.4166666666666666,0.17407407407407408
0.6,SMOTE,0.006167400881057269,0.0459830866807611,0.4713656387665198,0.1464059196617336,0.019911894273127756,0.08023255813953489
0.6,ADASYN,0.0043975373790677225,0.04915433403805497,0.5743183817062445,0.10729386892177589,0.02058047493403694,0.09281183932346723
0.6,ROS,0.0,0.01638477801268499,0.6017621145374449,0.13372093023255813,0.003171806167400881,0.048625792811839326
0.6,RUS,0.37037037037037035,0.16666666666666666,0.5092592592592593,0.12222222222222222,0.3888888888888889,0.2
0.7,SMOTE,0.0037764350453172208,0.048625792811839326,0.4199395770392749,0.19556025369978858,0.013444108761329303,0.08382663847780127
0.7,ADASYN,0.0029940119760479044,0.0507399577167019,0.5014970059880239,0.15169133192389006,0.012125748502994015,0.09809725158562368
0.7,ROS,0.0,0.01638477801268499,0.48489425981873113,0.18604651162790697,0.0007552870090634441,0.04915433403805497
0.7,RUS,0.37962962962962965,0.2077922077922078,0.4722222222222222,0.2077922077922078,0.37407407407407406,0.2363636363636364
0.8,SMOTE,0.003304692663582287,0.04809725158562368,0.3721083939193655,0.24207188160676532,0.012029081295439526,0.08615221987315011
0.8,ADASYN,0.003963011889035667,0.05496828752642706,0.428665785997358,0.1945031712473573,0.009114927344782035,0.1017970401691332
0.8,ROS,0.0,0.01638477801268499,0.4170522141440846,0.24577167019027485,0.0,0.0492600422832981
0.8,RUS,0.37962962962962965,0.2222222222222222,0.4074074074074074,0.26666666666666666,0.3574074074074074,0.25481481481481477
0.9,SMOTE,0.0023501762632197414,0.04809725158562368,0.34606345475910694,0.2843551797040169,0.01163337250293772,0.08900634249471459
0.9,ADASYN,0.00117096018735363,0.057610993657505286,0.3553864168618267,0.26215644820295986,0.008782201405152224,0.10422832980972516
0.9,ROS,0.0,0.01638477801268499,0.381903642773208,0.29069767441860467,0.0,0.04936575052854123
0.9,RUS,0.3333333333333333,0.24166666666666667,0.37037037037037035,0.3333333333333333,0.32962962962962966,0.265
1.0,SMOTE,0.003171247357293869,0.04809725158562368,0.3086680761099366,0.3266384778012685,0.011099365750528542,0.09482029598308668
1.0,ADASYN,0.002122015915119363,0.05866807610993657,0.32254641909814324,0.3081395348837209,0.007427055702917772,0.1083509513742072
1.0,ROS,0.0,0.01638477801268499,0.3192389006342495,0.3345665961945032,0.0,0.04883720930232559
1.0,RUS,0.3333333333333333,0.2777777777777778,0.3425925925925926,0.3425925925925926,0.3166666666666667,0.30185185185185187
